State,Medical School,Course,"Required or
Recommended?",Lab?,"Credit
Hours","Pass/
Fail","AP
Credit","Online
Course","Community
College",Additional Info
AR,"University of
Arkansas for
Medical Sciences
College of
Medicine",Social Sciences,Recommended,N,,,Y,Y,Y,
AR,"University of
Arkansas for
Medical Sciences
College of
Medicine",Spanish,Recommended,N,,,,,,
AR,"University of
Arkansas for
Medical Sciences
College of
Medicine","Speech
Communications",Recommended,N,,,,,,
AR,"University of
Arkansas for
Medical Sciences
College of
Medicine",Statistics,Required,N,3,,Y,Y,Y,
MA,University of Massachusetts Medical School,Statistics,Required,N,4,Y,Y,Y,Y,We will accept pass/fail and online coursework due to the pandemic. Please explain circumstances on the secondary application.
MD,"Johns Hopkins
University School
of Medicine",Behavioral Sciences,,,,,,,,
MD,"Johns Hopkins
University School
of Medicine",Biochemistry,Required,N,3,,,Y,Y,
MD,"Johns Hopkins
University School
of Medicine",Biology,Required,Y,8,,Y,Y,Y,
MD,"Johns Hopkins
University School
of Medicine",Biology/Zoology,,N,,,,,,
MD,"Johns Hopkins
University School
of Medicine",Calculus,Required,N,6,,Y,Y,Y,This may also be satisfied by a Statistics course.
MD,"Johns Hopkins
University School
of Medicine","Calculus and/or
Statistics",,N,6,,Y,Y,Y,
MD,"Johns Hopkins
University School
of Medicine",College English,,N,,,,,,
MD,"Johns Hopkins
University School
of Medicine",College Mathematics,,N,,,,,,
MD,"Johns Hopkins
University School
of Medicine",Computer Science,Recommended,N,,,,Y,Y,
MD,"Johns Hopkins
University School
of Medicine",Genetics,Recommended,N,,,,Y,Y,
MD,"Johns Hopkins
University School
of Medicine",Humanities,,N,,,,,,
MD,"Johns Hopkins
University School
of Medicine","Humanities, Social
and Behavioral
Sciences",Required,N,24,,Y,Y,Y,
MD,"Johns Hopkins
University School
of Medicine",Inorganic Chemistry,Required,Y,8,,Y,Y,Y,
MD,"Johns Hopkins
University School
of Medicine",Organic Chemistry,Required,Y,4,,Y,Y,Y,
MD,"Johns Hopkins
University School
of Medicine",Physics,Required,Y,8,,Y,Y,Y,
MD,"Johns Hopkins
University School
of Medicine",Psychology,,N,,,,,,
MD,"Johns Hopkins
University School
of Medicine",Social Sciences,,N,,,,,,
MD,"Johns Hopkins
University School
of Medicine",Behavioral Sciences,,N,,,,,,
MD,"Johns Hopkins
University School
of Medicine",Biochemistry,Recommended,N,,,,Y,,
MD,"Johns Hopkins
University School
of Medicine",Biology,Required,Y,8,,Y,Y,Y,
MD,"Johns Hopkins
University School
of Medicine",Biology,Required,Y,8,Y,C,Y,Y,"Pass/Fail is is accepted for the Spring semester of
2020 only. Online is accepted for Spring, Summer
and Fall semesters of 2020. Online will be
considered on a case by case basis for Spring of
2021."
MD,"Johns Hopkins
University School
of Medicine",Biology/Zoology,,N,,Y,C,,,
MD,"Johns Hopkins
University School
of Medicine",Calculus,,N,,Y,C,C,Y,
MD,"Johns Hopkins
University School
of Medicine",College English,Required,N,6,Y,C,C,Y,"Pass/Fail is accepted for the Spring semester of
2020 only."
MD,"Johns Hopkins
University School
of Medicine",College Mathematics,Required,N,6,Y,C,Y,Y,"Pass/Fail is accepted for the Spring semester of
2020 only. Online is accepted for the Spring,
Summer and Fall semesters of 2020. Online will be
considered on a case by case basis for Spring of
2021."
MD,"Johns Hopkins
University School
of Medicine",Computer Science,,,,Y,C,,,
MD,"Johns Hopkins
University School
of Medicine",Genetics,,,,Y,C,,,
MD,"Johns Hopkins
University School
of Medicine",Humanities,Required,N,3,Y,C,C,Y,"Pass/Fail is accepted for the Spring semester of
2020 only."
MD,"Johns Hopkins
University School
of Medicine",Immunology,Recommended,,,Y,C,,,
MD,"Johns Hopkins
University School
of Medicine",Inorganic Chemistry,Required,Y,8,Y,C,Y,Y,"Pass/Fail is accepted for the Spring semester of
2020 only. Online is accepted for the Spring,
Summer, and Fall semesters of 2020. Online will be
considered on case by case basis for Spring of
2021."
MD,"Johns Hopkins
University School
of Medicine",Organic Chemistry,Required,Y,8,Y,C,Y,Y,"Pass/Fail is accepted for the Spring semester of
2020 only. Online is accepted for the Spring,
Summer and Fall semesters of 2020. Online will be
considered on a case by case basis for Spring of
2021."
MD,"Johns Hopkins
University School
of Medicine",Physics,Required,Y,8,Y,C,Y,Y,"Pass/Fail is accepted for the Spring semester of
2020 only. Online is accepted for the Spring,
Summer and Fall semesters of 2020. Online will be
considered on a case by case basis for Spring of
2021."
AZ,"University of
Arizona College
of Medicine",Behavioral Sciences,Required,Y,,C,,,Y,"Requirement: One semester or one quarter of Social
or Behavioral Sciences https://
medicine.arizona.edu/admissions/key-info/
requirements"
AZ,"University of
Arizona College
of Medicine",Biochemistry,Required,Y,,C,,,Y,"Requirement: 2 semesters or 2 quarters of
Biochemistry or (1 Biochemistry/1 Genetics) https://
medicine.arizona.edu/admissions/key-info/
requirements"
AZ,"University of
Arizona College
of Medicine",Biology,,Y,,C,,,Y,
AZ,"University of
Arizona College
of Medicine",Biology/Zoology,,Y,,C,,,Y,
AZ,"University of
Arizona College
of Medicine",Calculus,,Y,,C,,,Y,
AZ,"University of
Arizona College
of Medicine",College English,Required,Y,,C,,,Y,"Requirement: 2 semesters or 2 quarters of Writing
Intensive/ English
https://medicine.arizona.edu/admissions/key-info/
requirements"
AZ,"University of
Arizona College
of Medicine",College Mathematics,,Y,,C,,,Y,
AZ,"University of
Arizona College
of Medicine",Computer Science,,Y,,C,,,Y,
AZ,"University of
Arizona College
of Medicine",Genetics,Required,Y,,C,,,Y,"Requirement: 2 semesters or 2 quarters of
Biochemistry or (1 Biochemistry/1 Genetics) https://
medicine.arizona.edu/admissions/key-info/
requirements"
AZ,"University of
Arizona College
of Medicine",Humanities,,Y,,C,,,,
AZ,"University of
Arizona College
of Medicine",Inorganic Chemistry,,Y,,C,,,,
AZ,"University of
Arizona College
of Medicine","Molecular Biology or
Cell Biology or
Histology or
Microbiology or
Pharmacology or
Pathology or
Immunology",Required,Y,,C,,,C,"2 semesters/2 quarters: upper div of any 2 from diff
disciplines: Mole Bio, Cell Bio, Histology,
Microbiology, Pharmacology, Pathology,
Immunology. Can use 1 sem Genetics if taken 2
semesters Biochem."
AZ,"University of
Arizona College
of Medicine",Organic Chemistry,,Y,,C,,,,
AZ,"University of
Arizona College
of Medicine",Physics,,Y,,C,,,,
AZ,"University of
Arizona College
of Medicine",Physiology,Required,Y,,C,,,Y,"Requirement: 2 semesters or 2 quarters of
Physiology https://medicine.arizona.edu/admissions/
key-info/requirements"
AZ,"University of
Arizona College
of Medicine",Psychology,,Y,,C,,,,
AZ,"University of
Arizona College
of Medicine",Social Sciences,Required,Y,,C,,,Y,"Requirement: One semester or one quarter of Social
or Behavioral Sciences https://
medicine.arizona.edu/admissions/key-info/
requirements"
AZ,"University of
Arizona College
of Medicine",Statistics/Biostatistics,Required,Y,,C,,,Y,"Requirement: One semester or one quarter of
Statistics/Biostatistics https://medicine.arizona.edu/
admissions/key-info/requirements"
AZ,"University of
Arizona College
of Medicine -Phoenix",Behavioral Sciences,Required,Y,6,Y,,,Y,"Disciplines include: cultural anthropology, econ,
health care admin, psychology, sociology, public
policy, family studies, history, political science, social
work, behavioral health, gender studies."
AZ,"University of
Arizona College
of Medicine -Phoenix",Biochemistry,Required,Y,3,N,,,Y,
AZ,"University of
Arizona College
of Medicine -Phoenix",Biology,Required,Y,6,Y,,,Y,"Two courses in any biological discipline are required.
Please note we have a separate requirement
specifically for human or mammalian physiology."
AZ,"University of
Arizona College
of Medicine -Phoenix",Biology/Zoology,,Y,,,,,,
AZ,"University of
Arizona College
of Medicine -Phoenix",Calculus,,Y,,,,,,
AZ,"University of
Arizona College
of Medicine -Phoenix",Chemistry,Required,Y,3,Y,,,Y,"Any course within the chemistry department can be
applied to this requirement. Please note we have a
separate requirement specifically for biochemistry."
AZ,"University of
Arizona College
of Medicine -Phoenix",College English,Required,Y,6,Y,,,Y,"Two writing-intensive courses are required. These
requirements may be met with course work outside
of the English department."
AZ,"University of
Arizona College
of Medicine -Phoenix",College Mathematics,Required,Y,3,Y,,,Y,"One course beyond College Algebra is required (ex:
Statistics, Precalculus, etc.)."
AZ,"University of
Arizona College
of Medicine -Phoenix",Computer Science,,Y,,,,,,
AZ,"University of
Arizona College
of Medicine -Phoenix",Genetics,,Y,,,,,,
AZ,"University of
Arizona College
of Medicine -Phoenix",Humanities,Required,Y,3,Y,,,Y,"Disciplines include: art, music, theater, speech and
communication, philosophy, religion, ethics,
literature, etc."
AZ,"University of
Arizona College
of Medicine -Phoenix",Inorganic Chemistry,,Y,,,,,,
AZ,"University of
Arizona College
of Medicine -Phoenix",Organic Chemistry,,Y,,,,,,
AZ,"University of
Arizona College
of Medicine -Phoenix",Physics,,Y,,,,,,
AZ,"University of
Arizona College
of Medicine -Phoenix",Physiology,Required,Y,3,N,,,Y,"Course must cover human or mammalian physiolgy.
A human anatomy course by itself will not meet this
requirement, however, a combined Anatomy and
Physiololgy course will suffice."
AZ,"University of
Arizona College
of Medicine -Phoenix",Psychology,,Y,,,,,,
AZ,"University of
Arizona College
of Medicine -Phoenix",Social Sciences,,Y,,,,,,
AZ,"University of
Arizona College
of Medicine -Phoenix",Anatomy,Recommended,Y,,,,,,
CA,"California
Northstate
University
College of
Medicine",Behavioral Sciences,Recommended,Y,,C,,,C,
CA,"California
Northstate
University
College of
Medicine",Biochemistry,Required,Y,3,N,,,C,"1 semester, 1 quarter, or 3 units of Biochemistry"
CA,"California
Northstate
University
College of
Medicine",Biology,Required,Y,8,N,,,C,"2 semesters, or 3 quarters, or 1 year of Organic
Chemistry with Laboratory"
CA,"California
Northstate
University
College of
Medicine",Biology/Zoology,,Y,,,,,,
CA,"California
Northstate
University
College of
Medicine",Calculus,Recommended,Y,,N,,,C,
CA,"California
Northstate
University
College of
Medicine",College English,Required,Y,6,Y,,,Y,"2 semesters, or 3 quarters, or 1 year of college level
English (IB or AP credits may be considered if they
are accepted by the undergraduate program)"
CA,"California
Northstate
University
College of
Medicine",College Mathematics,Required,Y,6,N,,,C,"2 semesters, or 3 quarters of college level Math
(Statistics and/or Calculus preferred)"
CA,"California
Northstate
University
College of
Medicine",Computer Science,,Y,,,,,,
CA,"California
Northstate
University
College of
Medicine",Foreign Language,Recommended,Y,,,,,,
CA,"California
Northstate
University
College of
Medicine",Genetics,,Y,,,,,,
CA,"California
Northstate
University
College of
Medicine",Humanities,,Y,,,,,,
CA,"California
Northstate
University
College of
Medicine",Immunology,Recommended,Y,,,,,,
CA,"California
Northstate
University
College of
Medicine",Inorganic Chemistry,Required,Y,8,N,,,C,"2 semesters, or 2 quarters of Inorganic Chemistry or
General Chemistry with a minimum of 8 units with
Laboratory"
CA,"California
Northstate
University
College of
Medicine",Microbiology,Recommended,Y,,N,,,,
CA,"California
Northstate
University
College of
Medicine",Organic Chemistry,Required,Y,8,N,,,C,"2 semesters, or 2 quarters of Organic Chemistry with
a minimum of 8 units with Laboratory"
CA,"California
Northstate
University
College of
Medicine",Physics,Required,Y,6,N,,,C,"2 semesters, or 3 quarters, or 1 year of Physics"
CA,"California
Northstate
University
College of
Medicine",Physiology,Recommended,Y,,N,,,,
CA,"California
Northstate
University
College of
Medicine",Psychology,,Y,,N,,,,
CA,"California
Northstate
University
College of
Medicine",Social Sciences,Recommended,Y,,N,,,C,
CA,"California
University of
Science and
Medicine-School
of Medicine",Behavioral Sciences,Recommended,Y,,N,,,Y,"We will accept Pass/Fail and online labs for
coursework completed during the 2019-2020,
2020-2021, and 2021-2022 academic years."
CA,"California
University of
Science and
Medicine-School
of Medicine",Biochemistry,Recommended,Y,,N,,,Y,"We will accept Pass/Fail and online labs for
coursework completed during the 2019-2020,
2020-2021, and 2021-2022 academic years."
CA,"California
University of
Science and
Medicine-School
of Medicine",Biology,Recommended,Y,12,N,,,Y,"We will accept Pass/Fail and online labs for
coursework completed during the 2019-2020,
2020-2021, and 2021-2022 academic years."
CA,"California
University of
Science and
Medicine-School
of Medicine",Biology/Zoology,,Y,,N,,,,
CA,"California
University of
Science and
Medicine-School
of Medicine",Calculus,Recommended,Y,12,N,,,Y,"We will accept Pass/Fail and online labs for
coursework completed during the 2019-2020,
2020-2021, and 2021-2022 academic years."
CA,"California
University of
Science and
Medicine-School
of Medicine",College English,Recommended,Y,12,N,,,Y,"We will accept Pass/Fail and online labs for
coursework completed during the 2019-2020,
2020-2021, and 2021-2022 academic years."
CA,"California
University of
Science and
Medicine-School
of Medicine",College Mathematics,Recommended,Y,,N,,,Y,"We will accept Pass/Fail and online labs for
coursework completed during the 2019-2020,
2020-2021, and 2021-2022 academic years."
CA,"California
University of
Science and
Medicine-School
of Medicine",Computer Science,,Y,,N,,,,
CA,"California
University of
Science and
Medicine-School
of Medicine",General Chemistry,Recommended,Y,,N,,,Y,"We will accept Pass/Fail and online labs for
coursework completed during the 2019-2020,
2020-2021, and 2021-2022 academic years."
CA,"California
University of
Science and
Medicine-School
of Medicine",Genetics,,Y,,N,,,,
CA,"California
University of
Science and
Medicine-School
of Medicine",Humanities,Recommended,Y,,N,,,Y,"We will accept Pass/Fail and online labs for
coursework completed during the 2019-2020,
2020-2021, and 2021-2022 academic years."
CA,"California
University of
Science and
Medicine-School
of Medicine",Inorganic Chemistry,Recommended,Y,12,N,,,Y,"We will accept Pass/Fail and online labs for
coursework completed during the 2019-2020,
2020-2021, and 2021-2022 academic years."
CA,"California
University of
Science and
Medicine-School
of Medicine",Molecular Biology,Recommended,Y,,N,,,Y,"We will accept Pass/Fail and online labs for
coursework completed during the 2019-2020,
2020-2021, and 2021-2022 academic years."
CA,"California
University of
Science and
Medicine-School
of Medicine",Organic Chemistry,Recommended,Y,12,N,,,Y,"We will accept Pass/Fail and online labs for
coursework completed during the 2019-2020,
2020-2021, and 2021-2022 academic years."
CA,"California
University of
Science and
Medicine-School
of Medicine",Physics,Recommended,Y,12,N,,,Y,"We will accept Pass/Fail and online labs for
coursework completed during the
2019-2020,2020-2021, and 2021-2022 academic
years."
CA,"California
University of
Science and
Medicine-School
of Medicine",Psychology,,Y,,N,,,Y,
CA,"California
University of
Science and
Medicine-School
of Medicine",Social Sciences,,Y,,N,,,Y,
CA,"Charles R Drew
University of
Medicine and
Science",Behavioral Sciences,Recommended,Y,6,N,,,Y,
CA,"Charles R Drew
University of
Medicine and
Science",Biochemistry,Required,Y,3,N,,,Y,
CA,"Charles R Drew
University of
Medicine and
Science",Biology,Required,Y,8,N,,,Y,
CA,"Charles R Drew
University of
Medicine and
Science",Biology/Zoology,,Y,,N,,,Y,
CA,"Charles R Drew
University of
Medicine and
Science","Biostatistics &
Epidemiology",Recommended,Y,,N,,,Y,
CA,"Charles R Drew
University of
Medicine and
Science",Calculus,Required,Y,3,N,,,Y,
CA,"Charles R Drew
University of
Medicine and
Science",College English,Required,Y,6,N,,,Y,
CA,"Charles R Drew
University of
Medicine and
Science",College Mathematics,,Y,,N,,,Y,
CA,"Charles R Drew
University of
Medicine and
Science",Computer Science,,Y,,N,,,Y,
CA,"Charles R Drew
University of
Medicine and
Science",General Chemistry,Required,Y,8,N,,,Y,
CA,"Charles R Drew
University of
Medicine and
Science",Genetics,,Y,,N,,,Y,
CA,"Charles R Drew
University of
Medicine and
Science",Humanities,Recommended,Y,,N,,,Y,
CA,"Charles R Drew
University of
Medicine and
Science",Inorganic Chemistry,,Y,,N,,,Y,
CA,"Charles R Drew
University of
Medicine and
Science",Organic Chemistry,Required,Y,8,N,,,Y,
CA,"Charles R Drew
University of
Medicine and
Science",Physics,Required,Y,8,N,,,Y,
CA,"Charles R Drew
University of
Medicine and
Science",Psychology,,Y,,N,,,Y,
CA,"Charles R Drew
University of
Medicine and
Science",Social Sciences,,Y,,N,,,Y,
CA,"Kaiser
Permanente
School of
Medicine",Behavioral Sciences,Required,Y,4,N,,,Y,"In light of COVID-19, we will accept Pass/Fail for
coursework completed during the 2019 - 2020 and
2020 - 2021 academic years."
CA,"Kaiser
Permanente
School of
Medicine",Biochemistry,Recommended,Y,,N,,,Y,
CA,"Kaiser
Permanente
School of
Medicine",Biology,Required,Y,8,N,,,Y,"In light of COVID-19, we will accept Pass/Fail and
online labs for coursework completed during the
2019 - 2020 and 2020 - 2021 academic years."
CA,"Kaiser
Permanente
School of
Medicine",Biology/Zoology,Recommended,Y,,N,,,Y,
CA,"Kaiser
Permanente
School of
Medicine",Calculus,Recommended,Y,,N,,,Y,
CA,"Kaiser
Permanente
School of
Medicine",College English,Recommended,Y,,N,,,Y,
CA,"Kaiser
Permanente
School of
Medicine",College Mathematics,Recommended,Y,,N,,,Y,
CA,"Kaiser
Permanente
School of
Medicine",Computer Science,Recommended,Y,,N,,,Y,
CA,"Kaiser
Permanente
School of
Medicine",Genetics,Recommended,Y,,N,,,Y,
CA,"Kaiser
Permanente
School of
Medicine",Humanities,Required,Y,4,N,,,Y,"In light of COVID-19, we will accept Pass/Fail for
coursework completed during the 2019 - 2020 and
2020 - 2021 academic years."
CA,"Kaiser
Permanente
School of
Medicine",Inorganic Chemistry,Required,Y,8,N,,,Y,"In light of COVID-19, we will accept Pass/Fail and
online labs for coursework completed during the
2019 - 2020 and 2020 - 2021 academic years."
CA,"Kaiser
Permanente
School of
Medicine",Organic Chemistry,Recommended,Y,,N,,,Y,
CA,"Kaiser
Permanente
School of
Medicine",Physics,Required,Y,8,N,,,Y,"In light of COVID-19, we will accept Pass/Fail and
online labs for coursework completed during the
2019 - 2020 and 2020 - 2021 academic years."
CA,"Kaiser
Permanente
School of
Medicine",Psychology,,Y,,N,,,Y,
CA,"Kaiser
Permanente
School of
Medicine",Social Sciences,,Y,,N,,,Y,
CA,"Keck School of
Medicine of the
University of
Southern
California",Behavioral Sciences,,Y,,N,,,Y,
CA,"Keck School of
Medicine of the
University of
Southern
California",Biochemistry,,Y,,N,,,Y,
CA,"Keck School of
Medicine of the
University of
Southern
California",Biology,,Y,,N,,,Y,
CA,"Keck School of
Medicine of the
University of
Southern
California",Biology/Zoology,,Y,,N,,,Y,
CA,"Keck School of
Medicine of the
University of
Southern
California",Calculus,,Y,,N,,,Y,
CA,"Keck School of
Medicine of the
University of
Southern
California",College English,,Y,,N,,,Y,
CA,"Keck School of
Medicine of the
University of
Southern
California",College Mathematics,,Y,,N,,,Y,
CA,"Keck School of
Medicine of the
University of
Southern
California",Computer Science,,Y,,N,,,Y,
CA,"Keck School of
Medicine of the
University of
Southern
California",Genetics,,Y,,N,,,Y,
CA,"Keck School of
Medicine of the
University of
Southern
California",Humanities,,Y,,N,,,Y,
CA,"Keck School of
Medicine of the
University of
Southern
California",Inorganic Chemistry,,Y,,N,,,Y,
CA,"Keck School of
Medicine of the
University of
Southern
California",Organic Chemistry,,Y,,N,,,Y,
CA,"Keck School of
Medicine of the
University of
Southern
California",Physics,,Y,,N,,,Y,
CA,"Keck School of
Medicine of the
University of
Southern
California",Psychology,,Y,,N,,,Y,
CA,"Keck School of
Medicine of the
University of
Southern
California",Social Sciences,,Y,,N,,,Y,
CA,"Keck School of
Medicine of the
University of
Southern
California",Spanish,Recommended,Y,,N,,,Y,
CA,"Keck School of
Medicine of the
University of
Southern
California",Statistics,Recommended,Y,,N,,,Y,
CA,"Loma Linda
University School
of Medicine",Behavioral Sciences,,Y,,N,,,Y,
CA,"Loma Linda
University School
of Medicine",Biochemistry,Required,Y,3,N,,,Y,"One academic term. Organic Chemistry may not be
substituted for this requirement. We will accept Pass/
Fail for coursework taken during the winter/spring
2020 academic terms only."
CA,"Loma Linda
University School
of Medicine",Biology,Required,Y,,N,,,Y,"One year sequence. We will accept Pass/Fail for
coursework taken during the winter/spring 2020
academic terms only."
CA,"Loma Linda
University School
of Medicine",Biology/Zoology,,Y,,N,,,Y,
CA,"Loma Linda
University School
of Medicine",Calculus,,Y,,N,,,Y,
CA,"Loma Linda
University School
of Medicine",College English,Required,Y,,N,,,Y,"English as required for degree at applicant's U.S. or
Canadian college/university."
CA,"Loma Linda
University School
of Medicine",College Mathematics,,Y,,N,,,Y,
CA,"Loma Linda
University School
of Medicine",Computer Science,,Y,,N,,,Y,
CA,"Loma Linda
University School
of Medicine",Genetics,,Y,,N,,,Y,
CA,"Loma Linda
University School
of Medicine",Humanities,,Y,,N,,,Y,
CA,"Loma Linda
University School
of Medicine",Inorganic Chemistry,Required,Y,,N,,,Y,"One year sequence. We will accept Pass/Fail for
coursework taken during the winter/spring 2020
academic terms only."
CA,"Loma Linda
University School
of Medicine",Organic Chemistry,Required,Y,,N,,,Y,"One year sequence. We will accept Pass/Fail for
coursework taken during the winter/spring 2020
academic terms only."
CA,"Loma Linda
University School
of Medicine",Physics,Required,Y,,N,,,Y,"One year sequence. We will accept Pass/Fail for
coursework taken during the winter/spring 2020
academic terms only."
CA,"Loma Linda
University School
of Medicine",Psychology,Recommended,Y,,N,,,Y,
CA,"Loma Linda
University School
of Medicine",Social Sciences,Recommended,Y,,N,,,Y,
CA,"Loma Linda
University School
of Medicine",Statistics,Recommended,Y,,N,,,Y,
CA,"Stanford
University School
of Medicine",Behavioral Sciences,Recommended,Y,,N,,,Y,"Stanford Medicine does not have specific course
requirements, but recommends appropriate
preparation for the study of medicine."
CA,"Stanford
University School
of Medicine",Biochemistry,Recommended,Y,,N,,,Y,"Stanford Medicine does not have specific course
requirements, but recommends appropriate
preparation for the study of medicine."
CA,"Stanford
University School
of Medicine",Biology,Recommended,Y,,N,,,Y,"Stanford Medicine does not have specific course
requirements, but recommends appropriate
preparation for the study of medicine."
CA,"Stanford
University School
of Medicine",Biology/Zoology,Recommended,Y,,N,,,Y,"Stanford Medicine does not have specific course
requirements, but recommends appropriate
preparation for the study of medicine."
CA,"Stanford
University School
of Medicine",Calculus,Recommended,Y,,N,,,Y,"Stanford Medicine does not have specific course
requirements, but recommends appropriate
preparation for the study of medicine."
CA,"Stanford
University School
of Medicine",College English,Recommended,Y,,N,,,Y,"Stanford Medicine does not have specific course
requirements, but recommends appropriate
preparation for the study of medicine."
CA,"Stanford
University School
of Medicine",College Mathematics,Recommended,Y,,N,,,Y,"Stanford Medicine does not have specific course
requirements, but recommends appropriate
preparation for the study of medicine."
CA,"Stanford
University School
of Medicine",Computer Science,Recommended,Y,,N,,,Y,"Stanford Medicine does not have specific course
requirements, but recommends appropriate
preparation for the study of medicine."
CA,"Stanford
University School
of Medicine",Genetics,Recommended,Y,,N,,,Y,"Stanford Medicine does not have specific course
requirements, but recommends appropriate
preparation for the study of medicine."
CA,"Stanford
University School
of Medicine",Humanities,Recommended,Y,,N,,,Y,"Stanford Medicine does not have specific course
requirements, but recommends appropriate
preparation for the study of medicine."
CA,"Stanford
University School
of Medicine",Inorganic Chemistry,Recommended,Y,,N,,,Y,"Stanford Medicine does not have specific course
requirements, but recommends appropriate
preparation for the study of medicine."
CA,"Stanford
University School
of Medicine",Organic Chemistry,Recommended,Y,,N,,,Y,"Stanford Medicine does not have specific course
requirements, but recommends appropriate
preparation for the study of medicine."
CA,"Stanford
University School
of Medicine",Physics,Recommended,Y,,N,,,Y,"Stanford Medicine does not have specific course
requirements, but recommends appropriate
preparation for the study of medicine."
CA,"Stanford
University School
of Medicine",Psychology,Recommended,Y,,N,,,Y,"Stanford Medicine does not have specific course
requirements, but recommends appropriate
preparation for the study of medicine."
CA,"Stanford
University School
of Medicine",Social Sciences,Recommended,Y,,N,,,Y,"Stanford Medicine does not have specific course
requirements, but recommends appropriate
preparation for the study of medicine."
CA,"University of
California, Davis,
School of
Medicine",Advanced Biology,Recommended,Y,,N,,,Y,"1 year (2 semesters or 3 quarters) required, totaling
at least 8 units. We will accept Pass/Fail and online
coursework and labs completed during the
2019-2020 through the 2021-2022 academic years."
CA,"University of
California, Davis,
School of
Medicine",Behavioral Sciences,Recommended,Y,,N,,,Y,
CA,"University of
California, Davis,
School of
Medicine",Biochemistry,Recommended,Y,,N,,,Y,
CA,"University of
California, Davis,
School of
Medicine",Biology,Required,Y,8,N,,,Y,"1 year (2 semesters or 3 quarters) required, totaling
at least 8 units. We will accept Pass/Fail and online
coursework and labs completed during the
2019-2020 through the 2021-2022 academic years."
CA,"University of
California, Davis,
School of
Medicine",Biology/Zoology,,Y,,N,,,Y,
